epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8684,1.18695,3.9025,1.07084,0.00326,0.97674,0.00915,0.00485,1.23522,3.95128,0.94116,0.0002,0.0002,0.0002
2,72.0162,1.10752,2.14662,1.03629,0.00333,1,0.63512,0.30885,0.97821,3.84823,0.90443,0.000415842,0.000415842,0.000415842
3,106.823,0.97505,1.61273,0.99489,0.00333,1,0.01095,0.00642,0.90486,3.85368,0.89924,0.000627328,0.000627328,0.000627328
4,141.308,1.02524,1.53829,1.01654,0.00326,0.97674,0.0066,0.00367,0.99228,3.90497,0.91413,0.000834458,0.000834458,0.000834458
5,174.718,1.08012,1.49538,1.02876,0.00326,0.97674,0.00511,0.00317,0.84746,3.87667,0.93784,0.00103723,0.00103723,0.00103723
6,207.36,1.00076,1.30627,1.02364,0.00333,1,0.00657,0.00443,0.95045,3.6648,1.00125,0.00123565,0.00123565,0.00123565
7,241.327,0.98342,1.34203,0.99983,0.00333,1,0.00789,0.00537,0.97109,3.47489,1.019,0.00142971,0.00142971,0.00142971
8,275.598,1.02726,1.20383,1.00586,0.00624,1,0.89756,0.64371,1.05006,3.05967,1.09728,0.00161942,0.00161942,0.00161942
9,310.593,1.00578,1.17071,1.01861,1,0.83639,0.99364,0.71072,1.06345,2.68299,1.11182,0.00180477,0.00180477,0.00180477
10,343.445,0.98955,1.11714,0.99725,1,0.49087,0.995,0.73207,1.00731,2.52144,1.0838,0.0018218,0.0018218,0.0018218
11,378.892,0.97614,1.03787,1.01584,1,0.99362,0.995,0.72733,1.012,1.81989,1.0524,0.001802,0.001802,0.001802
12,412.351,0.89427,0.95238,0.95518,0.99583,1,0.995,0.72261,0.97292,1.26486,1.05468,0.0017822,0.0017822,0.0017822
13,445.36,0.91952,1.05198,0.98021,1,0.99693,0.995,0.73779,0.98314,1.39671,1.05155,0.0017624,0.0017624,0.0017624
14,479.283,0.90883,0.89559,0.97941,0.99803,1,0.995,0.7262,1.00203,1.03739,1.0428,0.0017426,0.0017426,0.0017426
15,514.123,0.88189,0.89478,0.97457,0.97401,1,0.99364,0.75972,0.93034,0.9369,1.02923,0.0017228,0.0017228,0.0017228
16,550.634,0.90324,0.82284,0.97287,1,0.97274,0.9937,0.74713,0.9331,0.97885,1.03758,0.001703,0.001703,0.001703
17,584.48,0.85183,0.78321,0.95308,0.99937,1,0.995,0.75338,0.96528,0.82786,1.04391,0.0016832,0.0016832,0.0016832
18,617.846,0.84249,0.74906,0.93951,0.97522,1,0.99295,0.733,0.96164,0.72434,1.03631,0.0016634,0.0016634,0.0016634
19,652.337,0.86912,0.74759,0.94619,0.97473,1,0.99455,0.76539,0.91518,0.74886,1.02306,0.0016436,0.0016436,0.0016436
20,687.072,0.90934,0.73134,1.00278,0.99455,1,0.995,0.77297,0.90009,0.69342,1.00907,0.0016238,0.0016238,0.0016238
21,720.51,0.89526,0.72486,0.9587,0.99702,1,0.995,0.75317,0.91,0.69012,0.99992,0.001604,0.001604,0.001604
22,755.396,0.84281,0.68776,0.97077,0.97722,0.99762,0.99455,0.7489,0.90011,0.68865,1.0088,0.0015842,0.0015842,0.0015842
23,788.714,0.83061,0.67737,0.95481,0.99303,1,0.995,0.74653,0.94488,0.7063,1.01182,0.0015644,0.0015644,0.0015644
24,822.393,0.84221,0.65945,0.94657,0.9937,1,0.995,0.77094,0.91661,0.63438,0.99858,0.0015446,0.0015446,0.0015446
25,857.358,0.82725,0.61321,0.94673,0.97509,1,0.99409,0.77587,0.87279,0.61244,0.97933,0.0015248,0.0015248,0.0015248
26,890.202,0.78247,0.60386,0.93753,0.97718,1,0.99045,0.77859,0.91072,0.60388,1.0077,0.001505,0.001505,0.001505
27,924.316,0.78606,0.5973,0.94407,0.97501,1,0.99455,0.74121,0.98578,0.58878,1.03235,0.0014852,0.0014852,0.0014852
28,959.124,0.8498,0.63487,0.95433,0.99879,1,0.995,0.75193,0.98785,0.58789,1.03552,0.0014654,0.0014654,0.0014654
